"","PC1","PC2","PC3"
"point1.2.lower.jaw.length.resids_point11.14.ectopterygoid.resids",-0.00858406959401785,-0.013809493774799,-0.00279367190613177
"point1.2.lower.jaw.length.resids_point16.18.head.depth.resids",0.0065301337751491,-0.00595845253748316,4.45683087178426e-05
"point1.2.lower.jaw.length.resids_point12.13.maxillary.head.protrusion.resids",-0.0345184722788227,-0.0994309446739467,0.022181752765472
"point1.2.lower.jaw.length.resids_point6.11.maxilla.length.resids",-0.00239015947707931,-0.0173935233304811,0.00260898848482173
"point1.2.lower.jaw.length.resids_point11.13.maxillary.head.height.resids",0.0402395650977919,-0.0141537618913505,-0.0166056954288654
"point1.2.lower.jaw.length.resids_point17.18.pelvic.girdle.length.resids",0.0115369344226777,0.00452109838883016,-0.00101732495539705
"point8.9.dentigerous.arm.depth.resids_point5.8.dentigerous.arm.width.resids",0.0258364149549364,-0.044356771604042,-0.00279706938091795
"point8.9.dentigerous.arm.depth.resids_point7.5.dentigerous.arm.base.resids",-0.0204105028080779,-0.00830468319789208,0.0171671882367185
"point8.9.dentigerous.arm.depth.resids_point1.2.lower.jaw.length.resids",0.00815028602152069,0.0279493683159382,-0.0170490262846139
"point8.9.dentigerous.arm.depth.resids_point8.9.dentigerous.arm.depth.resids",0.0108889958741167,0.0730960115645058,0.00668541024731863
"point8.9.dentigerous.arm.depth.resids_point2.11.palatine.height.resids",0.00012533137094135,-0.0210138097504017,-0.00677094788818198
"point8.9.dentigerous.arm.depth.resids_point2.3.jaw.closing.inlever.resids",0.00619667990734184,0.0511078626687352,0.00152708793529962
"point8.9.dentigerous.arm.depth.resids_point15.16.cranial.height.resids",0.0132759417620072,-0.096779582760274,-0.0207535476539447
"point8.9.dentigerous.arm.depth.resids_point14.15.orbit.diameter.resids",0.0150992595715003,0.0078199789156052,0.00106755793962064
"point8.9.dentigerous.arm.depth.resids_point2.18.suspensorium.length.resids",-0.0100265518565706,-0.000593081528363858,0.00947662432038347
"point8.9.dentigerous.arm.depth.resids_point9.10.ascending.proess.length.resids",0.00325571565990579,-0.0300008611512451,-0.00300105978133562
"point8.9.dentigerous.arm.depth.resids_point2.4.opening.inlever.resids",-0.0563667782435953,0.00866082645731426,0.0363802659551235
"point8.9.dentigerous.arm.depth.resids_point12.19.nasal.tissue.protrusion.resids",0.037222679204661,-0.0423625764117741,0.0153067242899456
"point8.9.dentigerous.arm.depth.resids_point11.14.ectopterygoid.resids",-0.0123510797278428,-0.0298012109021151,0.000659879883342362
"point8.9.dentigerous.arm.depth.resids_point16.18.head.depth.resids",0.0113469951812876,-0.0034106361733797,-0.00724402622464425
"point8.9.dentigerous.arm.depth.resids_point12.13.maxillary.head.protrusion.resids",-0.0491844395609056,-0.217744576566741,0.144756504672913
"point8.9.dentigerous.arm.depth.resids_point6.11.maxilla.length.resids",-0.000695296235394391,-0.0331158385718175,-0.00643667064795705
"point8.9.dentigerous.arm.depth.resids_point11.13.maxillary.head.height.resids",0.0496894290505137,-0.0154197353740345,-0.0155436057829064
"point8.9.dentigerous.arm.depth.resids_point17.18.pelvic.girdle.length.resids",0.0160944998384264,0.0277556257648662,-0.0224090005726099
"point2.11.palatine.height.resids_point5.8.dentigerous.arm.width.resids",-0.004045785974398,-0.00530207492309684,-0.000897395407839768
"point2.11.palatine.height.resids_point7.5.dentigerous.arm.base.resids",-0.0044925030042014,0.0122636660545445,0.00210067976503421
"point2.11.palatine.height.resids_point1.2.lower.jaw.length.resids",-0.00209159891229006,-0.0102193355589267,0.00333899929246589
"point2.11.palatine.height.resids_point8.9.dentigerous.arm.depth.resids",0.00012533137094135,-0.0210138097504017,-0.00677094788818198
"point2.11.palatine.height.resids_point2.11.palatine.height.resids",-0.00779637537639457,0.0245707405891937,0.00450130197888033
"point2.11.palatine.height.resids_point2.3.jaw.closing.inlever.resids",-0.00497980330317142,0.0209881497124688,0.00218670162591297
"point2.11.palatine.height.resids_point15.16.cranial.height.resids",-0.00378639549623121,0.0108003244379197,0.00454017474622264
