"mean","trait"
0.00891982930643694,"maxillary.head.height"
0.00460493452879048,"maxillary.head.protrusion"
0.006036620479293,"nasal.tissue.protrusion"
0.0043446572038745,"opening.in.lever"
0.00480245801116462,"all.traits"
