"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population","species.x"
"CP-P-8",0.339990226404296,0.425643111677224,0.359867631535129,-0.00552252679110158,0.2531315580552,0.0653478555057096,0.0298075770885906,-0.125965888126031,0.171659719028696,0.362937574008545,-0.161804614676789,-0.120748765446755,-0.0973308597108361,-0.146382085433264,0.14354419063383,0.291464629850053,0.520744815735193,-0.0363899965265444,"CP","desquamator"
"CP-P-5",0.253689821443499,0.353095881814969,0.371435837845232,0.104835476319271,0.288660349822615,0.161611456960431,-0.0660600496826396,-0.167039528509787,0.268760463659904,0.436624880920605,0.25453832574808,-0.261107139502076,-0.108222228857631,-0.117119781185382,0.0961963983605858,0.292961799978775,-0.808212352928062,-0.169752421489432,"CP","desquamator"
"CP-P-2",0.287997615663881,0.365810465318027,0.374415546356368,0.0579918157110601,0.241923912710827,0.0955987456990917,-0.179840607561549,-0.0367802005018818,0.12287801685987,0.285569881246817,0.249357447961162,-0.0722586496743767,0.141222020153731,-0.149296027373271,-0.172903122803407,0.236141627901622,-0.730197504572377,-0.0571432465329871,"CP","desquamator"
"CP-P-1",0.294395818819356,0.374804080102339,0.36050774346871,0.0193659321710259,0.265101342293763,0.0969852307324826,-0.0114291032736884,-0.0866430573448614,0.0242540665173122,0.144723110526084,-0.0158671841515349,0.26160187893063,0.234443594633738,-0.164706291092385,-0.00108532186562244,0.261021088585633,-0.163973563967753,-0.150298923588738,"CP","desquamator"
"CP_P_3L",0.619701783322712,0.154088323523486,0.561009452436894,0.358456371119886,0.258433047600025,0.268256863195566,-0.00777714746192337,0.141269706257767,0.0037518223689128,0.238314391632291,-0.705428949993696,0.454518116071748,-0.0926430310775054,0.00472390068241224,-0.885821921455422,0.249207657383247,0.693063281197879,0.19991906244984,"CP","desquamator"
