"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population","species.x"
"LL7L",0.265151119673718,0.110504450960915,0.185890681213855,0.145795930394481,0.210510457056137,0.18390252577664,0.348728207660858,0.0906333694792671,0.0651160677829508,0.0177549693512572,0.352557891200614,0.0686710283766154,0.164148811042362,0.0930222420737847,0.196073410157171,0.150107442349656,0.52166293089505,0.196228453552292,"LL","variegatus"
"LL5L",0.248088238352856,0.238534164060694,0.207368796292811,0.29827846442917,0.328658938010207,0.402938052086809,0.286041453219027,0.253088697928746,0.259053001589056,0.307538624662167,0.380893167522981,-0.038836630128334,0.507098427378047,0.320585877401809,0.387703032974433,0.300882134611163,0.110869546434017,0.321839295555248,"LL","variegatus"
"LL11",0.0692828552700201,0.118778754599147,0.145115080848499,0.124121007912515,0.0725980879401761,0.149391103900916,0.157406040904537,0.119523688197597,0.0031039024176485,0.0296404585961051,0.0253379267063793,-0.989278086487881,0.401638141015957,0.037160166723851,0.240431260915136,0.0371166922571041,0.278095478978445,0.0225986413066024,"LL","variegatus"
"LL25",0.141042116322804,0.0338987348616225,0.111677920990848,0.0853724921336324,0.0532979020605607,0.0386425051161663,0.0539940621717521,0.104515632336551,0.0690291847433493,0.0343534464033775,0.323125770796812,0.382594407230443,0.103315964910308,0.0753866706225585,-0.0415916046668516,0.0445073341240561,0.579983379621549,0.0170006462052964,"LL","variegatus"
