"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population","species.x"
"LL7L",0.265151119673718,0.110504450960915,0.185890681213855,0.145795930394481,0.210510457056137,0.18390252577664,0.348728207660858,0.0906333694792671,0.0651160677829508,0.0177549693512572,0.352557891200614,0.0686710283766154,0.164148811042362,0.0930222420737847,0.196073410157171,0.150107442349656,0.52166293089505,0.196228453552292,"LL","variegatus"
"D_39",0.0534489790928621,0.0522506831583619,-0.0445055309601037,0.149388621951538,-0.125154146048607,-0.000782544680646799,0.149417184068088,0.0569106562765759,-0.321658532903593,0.311046628967374,0.0358838714720625,-0.170619728540061,0.043411988462361,0.0162904947179372,0.0580707879908473,-0.0512766601333513,-0.17111738277152,0.00690265667530645,"OYS","variegatus"
"D_26",0.189884205386389,0.211121636999611,0.206514248049852,0.240847868931868,0.114079275827676,0.1656098806084,0.076729222647052,0.0690323898987814,0.125103199882045,0.107837988927701,0.043381321477167,-0.466404534006071,0.0167309348469602,0.114745623403158,0.0606731776588492,0.167461048791692,0.569604552785603,-0.0139388364245512,"OYS","variegatus"
"CP-M-6",-0.0173928383482757,-0.250003840888959,-0.21959290565425,-0.127987867135877,-0.162301592538393,-0.109710087995311,-0.132404793903497,-0.0486757663870249,0.0785010520622947,-0.264339866051844,0.341447117797569,0.727027342941608,-0.0978829721498431,-0.0547740551274521,0.466726301509171,-0.123455219230091,0.28972418594133,0.0119578731820852,"CP","bronotheroides"
"CP-M-5",0.0517654957114367,-0.160378873829422,-0.234029665416176,-0.229442133376096,0.0200140200453412,-0.0243625223314439,0.0221784471929425,-0.0745450640993273,0.0159053793564552,-0.111457108140726,0.0511023754229475,0.181365203092035,0.102387003522812,-0.0747206025082867,0.651100706333944,0.0330995856849284,0.409900067421401,-0.061144098925205,"CP","bronotheroides"
"CP-M-1",-0.0414314883122765,-0.157550320462837,-0.122581108267759,0.039599653019033,-0.0304252271286988,0.109755544209482,-0.248220917994378,-0.0309123600560789,0.0467534134098949,-0.235708735378739,0.166681372056884,0.162641817019737,0.043986943494905,-0.0696532519414513,0.147877568730387,-0.0384393554079488,0.378958530859638,0.039603216437267,"CP","bronotheroides"
"CP-P-8",0.339990226404296,0.425643111677224,0.359867631535129,-0.00552252679110158,0.2531315580552,0.0653478555057096,0.0298075770885906,-0.125965888126031,0.171659719028696,0.362937574008545,-0.161804614676789,-0.120748765446755,-0.0973308597108361,-0.146382085433264,0.14354419063383,0.291464629850053,0.520744815735193,-0.0363899965265444,"CP","desquamator"
"CP-P-5",0.253689821443499,0.353095881814969,0.371435837845232,0.104835476319271,0.288660349822615,0.161611456960431,-0.0660600496826396,-0.167039528509787,0.268760463659904,0.436624880920605,0.25453832574808,-0.261107139502076,-0.108222228857631,-0.117119781185382,0.0961963983605858,0.292961799978775,-0.808212352928062,-0.169752421489432,"CP","desquamator"
"CP-P-2",0.287997615663881,0.365810465318027,0.374415546356368,0.0579918157110601,0.241923912710827,0.0955987456990917,-0.179840607561549,-0.0367802005018818,0.12287801685987,0.285569881246817,0.249357447961162,-0.0722586496743767,0.141222020153731,-0.149296027373271,-0.172903122803407,0.236141627901622,-0.730197504572377,-0.0571432465329871,"CP","desquamator"
"CP-P-1",0.294395818819356,0.374804080102339,0.36050774346871,0.0193659321710259,0.265101342293763,0.0969852307324826,-0.0114291032736884,-0.0866430573448614,0.0242540665173122,0.144723110526084,-0.0158671841515349,0.26160187893063,0.234443594633738,-0.164706291092385,-0.00108532186562244,0.261021088585633,-0.163973563967753,-0.150298923588738,"CP","desquamator"
"LL-M-1",0.086998701400106,-0.198472047210683,-0.201265278246795,-0.437662435585882,-0.106737252697651,-0.0278399242760309,-0.0447276522821007,-0.157656928025109,-0.0475788958115474,0.14765804095731,-0.065168592564652,0.398067280894953,-0.184740700305525,-0.146477601856841,0.382338346704646,-0.0711138348395466,0.288640022101059,-0.209312629994085,"LL","bronotheroides"
"LL-P-1",0.292997962619794,0.385086350623129,0.402848687103282,0.132879457444392,0.285710673351409,0.203156363407254,-0.149785892947936,-0.0229210999390643,0.184216674916665,0.317953308986971,0.0662069168259666,-0.983796025465308,0.290589547028254,-0.0598688640330048,0.151604602936104,0.30512645315628,0.477103017008571,-0.0991003363511233,"LL","desquamator"
"DP47",0.164537529092244,0.168979661962173,0.243343736164133,0.265926413174175,0.198669791850988,0.281899421128572,-0.0890001465702559,-0.0710842934521125,0.117496948885605,-0.2775814305389,-0.0846211455371979,-0.229829842437649,-0.0729478477041337,-0.089033904410554,-0.416695459799923,0.118464644579592,0.569358746628761,-0.148676210505869,"OYS","desquamator"
"DP29",0.145520816138055,0.093540927057205,0.194673377944247,0.276995815497768,0.152125801805924,0.215387627919544,-0.0638976176209334,-0.0272186144715388,0.308678384038951,-0.0640254518220997,0.3088275654938,-0.263165149278096,0.0478630569484739,-0.0342368725110245,-0.187690818889766,0.121724083256201,-0.159758076861503,-0.233884657011061,"OYS","desquamator"
"DP28",0.148341999677772,0.185587054180696,0.215167888892374,0.176543873221205,0.195857188747227,0.157989767329084,-3.95937865820262e-05,-0.058435592938053,0.25599303847947,0.2172881634605,0.0708196828150705,-1.09826998125767,0.0432502149130646,-0.0498940859391804,-0.143823997657293,0.15686198320567,0.485426788037631,-0.0524852028792122,"OYS","desquamator"
"DP7",0.0806690618071115,0.19912654650869,0.22168649794001,0.178730032202338,0.143700071790349,-0.140203800708838,-0.15211180424377,-0.00343854817320422,0.0709734547864379,-0.411913035738477,0.182632330161328,-0.0882340653221938,-0.0688574537343828,-0.0967608538131743,-0.243598987252891,0.0907386855982456,-0.097794552332533,0.0498716415110172,"OYS","desquamator"
"DP2",0.259736607074146,0.240229682991219,0.25678264946805,0.192161958595295,0.270357821113447,0.145233679561933,-0.0562672107185033,0.0446411294076086,0.266671836427153,0.184000316747097,0.282035237726513,-0.14979809440367,0.173924631310179,0.00345300818189332,-0.0501816015641647,0.249629724395249,0.275589716839001,-0.023583083263141,"OYS","desquamator"
"LL5L",0.248088238352856,0.238534164060694,0.207368796292811,0.29827846442917,0.328658938010207,0.402938052086809,0.286041453219027,0.253088697928746,0.259053001589056,0.307538624662167,0.380893167522981,-0.038836630128334,0.507098427378047,0.320585877401809,0.387703032974433,0.300882134611163,0.110869546434017,0.321839295555248,"LL","variegatus"
"D_42",0.167101912223097,0.233450603403879,0.15819589967627,0.249697155111601,0.225130723620233,0.0621001190028928,0.161929826829776,0.0812653161816137,0.00025919679357635,-0.0508466236338572,-0.210781571113757,0.46198166311617,0.217486196467002,0.133366293532524,0.326491218723776,0.210560932728828,-0.0460292625584241,0.0810055271169116,"OYS","variegatus"
"LL11",0.0692828552700201,0.118778754599147,0.145115080848499,0.124121007912515,0.0725980879401761,0.149391103900916,0.157406040904537,0.119523688197597,0.0031039024176485,0.0296404585961051,0.0253379267063793,-0.989278086487881,0.401638141015957,0.037160166723851,0.240431260915136,0.0371166922571041,0.278095478978445,0.0225986413066024,"LL","variegatus"
"LL25",0.141042116322804,0.0338987348616225,0.111677920990848,0.0853724921336324,0.0532979020605607,0.0386425051161663,0.0539940621717521,0.104515632336551,0.0690291847433493,0.0343534464033775,0.323125770796812,0.382594407230443,0.103315964910308,0.0753866706225585,-0.0415916046668516,0.0445073341240561,0.579983379621549,0.0170006462052964,"LL","variegatus"
"DP50",0.158272119101733,0.160717052593522,0.192220086050627,0.132463984048266,0.239621930481171,0.164462648344014,-0.0568427998891115,-0.0520403486738212,0.271592542566672,-0.148499965243169,0.210451554351268,-0.912516956683725,0.309436780666528,-0.0174326592176682,-0.281132930691068,0.181246844451725,-0.0134931507996914,-0.172824996726997,"OYS","desquamator"
"DP13",0.130023278091937,0.114052420630195,0.258832784418897,0.263640385659973,0.147272465703157,0.268864805005149,-0.0723443265840233,-0.0268640867026406,0.26235948084549,-0.166903587098869,0.274650114316739,-0.376858227187985,-0.0913559506550708,-0.0358676214373895,0.0529884212291283,0.1022261824512,0.176176566378101,-0.214495268985108,"OYS","desquamator"
"CP38",0.138849707710436,0.115758879936491,0.151282094286814,0.0668802492700611,0.0947227790095009,0.000275761271431615,0.020113160940501,0.111964740989541,0.159406650923668,0.224458912306299,0.20513769049857,-0.123129899989513,0.0816302700518787,0.0377404559321395,0.265187480544365,0.137855731741086,0.292320826102434,-0.196199759360881,"CP","variegatus"
"CP31",0.186043361464014,0.163485486207475,0.207645674992876,0.245056126802679,0.150393346923688,0.138348820049934,0.156574652110173,0.169115415846303,0.146772860767802,0.226929574943909,0.372769446330384,-0.282275444452909,0.154296806722222,0.117833851606302,0.326566912081681,0.157327351127627,0.231424559947892,0.0496124670012416,"CP","variegatus"
"DP3",0.207308123492124,0.164878158196871,0.166487419349798,0.0667690871416617,0.137939982859952,0.0489636715228117,0.018230504728595,-0.0980736126048894,0.0815912250642205,-0.103161405084012,0.15820134024076,-0.0219287795348728,0.189094671522343,-0.0629984690109185,-0.177672574941012,0.126158834859147,0.0642837353993739,-0.0015711978692351,"OYS","desquamator"
"CP15",0.0304080401446095,0.0222250215997157,0.0350774819106716,0.102129775631411,0.0717379006684844,0.0343871960987604,0.163118157567738,-0.0228830403427335,-0.0374124055145982,-0.00335297178441797,0.174510144905477,-0.0054705684029932,-0.174226087549869,-0.00415420867302973,0.0763711529566834,0.129271429432363,0.53220810841607,0.113236975665753,"CP","variegatus"
"CP37",0.100622795829317,0.209277371949926,0.245865497632758,0.254819271111161,0.150594964998308,0.176412904987327,0.188107699213851,0.0602958331214697,-0.0159886827046651,-0.152072561367655,0.261661689421393,0.439540868680801,0.205975704406454,0.0934093144452777,0.235460731456665,0.146984973497361,0.346660947413,0.105219829696747,"CP","variegatus"
"CP_P_3L",0.619701783322712,0.154088323523486,0.561009452436894,0.358456371119886,0.258433047600025,0.268256863195566,-0.00777714746192337,0.141269706257767,0.0037518223689128,0.238314391632291,-0.705428949993696,0.454518116071748,-0.0926430310775054,0.00472390068241224,-0.885821921455422,0.249207657383247,0.693063281197879,0.19991906244984,"CP","desquamator"
"LL_181L",0.0933642242919288,0.138804823954983,0.106127740933425,0.0872730792365899,0.0579565421068087,0.0983556673470616,0.0116052368029351,0.0115821300139889,0.245943764030701,0.234650059870413,-0.0408186178136342,0.361451125834838,0.01550945393646,0.0276860107141848,-0.166404470839574,0.0624674561184957,0.197575468320688,-0.165849205929079,"LL","desquamator"
"LL_192L",0.23191141408981,0.130936994782531,0.169170127388622,0.168977204208129,0.0283105896902536,0.120496358669116,0.0638095688589699,-0.00539468173897539,-0.34420580176327,0.0515005682944417,-0.515577743238491,0.578420237388336,-0.0129145102288047,-0.000319191791324558,-0.536332887930746,0.0240768961986337,0.102811135888424,0.230193781911341,"LL","desquamator"
"LL_197L",0.035011295707299,-0.233058386621565,0.0690489064984159,0.0760264906650394,0.0327717690355172,0.0499141101205001,0.00515917662216747,-0.00411771572161657,-0.0168748191579555,0.129494205408565,0.0811076498839896,-0.222413947467665,-0.209259760812409,0.00390856135897266,-0.056952084958055,0.0670393761153063,0.078757613095838,0.131049987700178,"LL","desquamator"
"LL_212L",0.255280313948975,0.143895495680092,0.222267785773639,0.175150789822993,0.111929375254378,0.127295296639281,-0.0180136773421343,0.116862642225475,0.0300641993849202,0.130725512531479,0.498580193583921,-1.11762733655883,0.00659722673943948,0.0506258262447463,-0.0372352776778122,0.103850109889188,-1.79252003422619,0.275539555329931,"LL","desquamator"
"LL218",0.171438129412124,0.171491023723818,0.13116874326238,0.10424937913068,0.0583007196331455,0.0242098242352182,-0.130587188339173,0.00623670399969356,-0.172874482556482,0.00875292251880377,-0.256594464196434,0.310600678788724,-0.0485094628788329,-0.0701849271976731,-0.387643714417121,0.0322593681629244,0.420527736212354,0.311777655326187,"LL","desquamator"
"LL_224L",-0.114464758422501,-0.546042585854708,-0.152882435103381,-0.142770375702685,-0.0665882276853612,-0.73847974082377,-0.0975220952510891,-0.00355969028987424,0.0403321080361934,0.0293583699500579,0.194610185302614,0.078089287224108,0.143264818888141,-0.0193597798375618,0.612301885006355,-0.0691287187576911,-0.0148480925373344,-0.185103575681165,"LL","bronotheroides"
"LL_265L",-0.310353035311946,0.100032828148603,-0.256626202222236,-0.325445400612145,-0.159948838319228,-0.0719855209185722,-0.0687202314749308,0.0794873662150561,-0.039065731836206,-0.122081119160084,0.0687601953227059,-0.467384081879621,0.0936100801544412,-0.00359250195940564,0.54988389061748,-0.215644118099006,0.169059319603425,0.0233834653612974,"LL","bronotheroides"
"LL_274R",-0.358308642496782,-0.0624915545286399,-0.330272653887274,-0.18805940729238,-0.0734109822009607,0.0624417374775763,0.0158702144763264,-0.0385411321146132,0.0741345371794724,0.157656175651381,-0.146429992715308,-0.214370414614384,-0.104824790672744,0.000224657612135193,0.340575898875223,-0.105035640696408,-0.0203831714782445,0.0627234197512276,"LL","bronotheroides"
"LL_317L",-0.217517897611285,0.033538200188433,-0.154374983363331,-0.183662484120366,-0.0221070386041295,-0.174296421357152,0.0205681813637895,-0.143956054187936,0.0339368398734703,0.213334279799803,-0.193168013947934,-0.338667536488334,-0.266254257403256,-0.0311166045532576,0.369567897141266,-0.056092915560701,-0.382230207693343,-0.137709949134245,"LL","bronotheroides"
