"ID","point5.8.dentigerous.arm.width.resids","point7.5.dentigerous.arm.base.resids","point1.2.lower.jaw.length.resids","point8.9.dentigerous.arm.depth.resids","point2.11.palatine.height.resids","point2.3.jaw.closing.inlever.resids","point15.16.cranial.height.resids","point14.15.orbit.diameter.resids","point2.18.suspensorium.length.resids","point9.10.ascending.proess.length.resids","point2.4.opening.inlever.resids","point12.19.nasal.tissue.protrusion.resids","point11.14.ectopterygoid.resids","point16.18.head.depth.resids","point12.13.maxillary.head.protrusion.resids","point6.11.maxilla.length.resids","point11.13.maxillary.head.height.resids","point17.18.pelvic.girdle.length.resids","population","species.x"
"LL-M-1",0.086998701400106,-0.198472047210683,-0.201265278246795,-0.437662435585882,-0.106737252697651,-0.0278399242760309,-0.0447276522821007,-0.157656928025109,-0.0475788958115474,0.14765804095731,-0.065168592564652,0.398067280894953,-0.184740700305525,-0.146477601856841,0.382338346704646,-0.0711138348395466,0.288640022101059,-0.209312629994085,"LL","bronotheroides"
"LL_224L",-0.114464758422501,-0.546042585854708,-0.152882435103381,-0.142770375702685,-0.0665882276853612,-0.73847974082377,-0.0975220952510891,-0.00355969028987424,0.0403321080361934,0.0293583699500579,0.194610185302614,0.078089287224108,0.143264818888141,-0.0193597798375618,0.612301885006355,-0.0691287187576911,-0.0148480925373344,-0.185103575681165,"LL","bronotheroides"
"LL_265L",-0.310353035311946,0.100032828148603,-0.256626202222236,-0.325445400612145,-0.159948838319228,-0.0719855209185722,-0.0687202314749308,0.0794873662150561,-0.039065731836206,-0.122081119160084,0.0687601953227059,-0.467384081879621,0.0936100801544412,-0.00359250195940564,0.54988389061748,-0.215644118099006,0.169059319603425,0.0233834653612974,"LL","bronotheroides"
"LL_274R",-0.358308642496782,-0.0624915545286399,-0.330272653887274,-0.18805940729238,-0.0734109822009607,0.0624417374775763,0.0158702144763264,-0.0385411321146132,0.0741345371794724,0.157656175651381,-0.146429992715308,-0.214370414614384,-0.104824790672744,0.000224657612135193,0.340575898875223,-0.105035640696408,-0.0203831714782445,0.0627234197512276,"LL","bronotheroides"
"LL_317L",-0.217517897611285,0.033538200188433,-0.154374983363331,-0.183662484120366,-0.0221070386041295,-0.174296421357152,0.0205681813637895,-0.143956054187936,0.0339368398734703,0.213334279799803,-0.193168013947934,-0.338667536488334,-0.266254257403256,-0.0311166045532576,0.369567897141266,-0.056092915560701,-0.382230207693343,-0.137709949134245,"LL","bronotheroides"
"LL_322L",-0.0927605581573011,-0.0533429881951877,-0.0462491504371341,0.0918903011446368,-0.115145787002354,-0.0169107801013052,-0.0100713127805269,-0.0194231994092426,-0.0905657069097316,-0.412129518528557,0.696089910101493,0.160105399373202,0.0603002532405009,-0.00948506513061731,-0.171249951808554,-0.0479533875198002,0.223400323419393,0.0723290819859088,"LL","bronotheroides"
"LL345",-0.359742294642426,-0.126548023980535,-0.326258470581508,-0.147856028756629,-0.188057535503885,0.0518781121294207,-0.0796850652161905,-0.107898870798832,-0.00981779202247002,-0.224525860427829,0.49036312603839,0.22333886858576,0.198418560254109,-0.0310535743909293,0.224741261025798,-0.170340257407477,-0.407941322397821,-0.2519453195318,"LL","bronotheroides"
"LL_373L",-0.128115214816135,0.202322584023293,-0.201098123503705,-0.21754201965568,-0.0409581522499056,0.122613057869201,0.169557500723935,-0.0462175594963576,0.081940968890615,0.113312581768108,-0.0425391212052373,0.224912931023302,0.24691564321225,0.0879813155731424,0.593662869924645,-0.0216602966978252,0.309422995010117,-0.24564875983821,"LL","bronotheroides"
